
> ecs-experiment@0.0.0 benchmark
> npm run asbuild && npx tsx scripts/run_benchmarks.ts


> ecs-experiment@0.0.0 asbuild
> asc src/benchmarks/assembly/index.ts -o public/benchmark_wasm_ecs.wasm -O --noAssert && asc src/benchmarks/assembly/tree.ts -o public/benchmark_wasm_tree.wasm -O --noAssert


Running benchmark for: WANDER with 5000 entities...

### Results for WANDER (5000 entities)
| System | Avg Frame Time | 99th Percentile | Speedup vs OOP S&P (Insertion) |
### Results for WANDER (15000 entities)
| System | Avg Frame Time | 99th Percentile | Speedup vs OOP S&P (Insertion) |
| :--- | :--- | :--- | :--- |
| OOP S&P (Insertion) | 6.820 ms | 9.105 ms | 1.00x |
| OOP S&P (Quick) | 7.737 ms | 9.857 ms | 0.88x |
| OOP S&P (Merge) | 7.816 ms | 10.442 ms | 0.87x |
| OOP S&P (Native) | 8.000 ms | 10.288 ms | 0.85x |
| OOP Tree | 15.586 ms | 51.614 ms | 0.44x |
| Custom ECS S&P (Insertion) | 4.485 ms | 4.653 ms | 1.52x |
| Custom ECS S&P (Quick) | 4.671 ms | 5.010 ms | 1.46x |
| Custom ECS S&P (Merge) | 4.782 ms | 5.268 ms | 1.43x |
| Custom ECS S&P (Native) | 5.635 ms | 7.831 ms | 1.21x |
| ECS Tree | 9.231 ms | 10.628 ms | 0.74x |
| bitECS S&P (Insertion) | 4.735 ms | 5.334 ms | 1.44x |
| bitECS S&P (Quick) | 4.849 ms | 5.235 ms | 1.41x |
| bitECS S&P (Merge) | 5.010 ms | 5.653 ms | 1.36x |
| bitECS S&P (Native) | 6.079 ms | 8.243 ms | 1.12x |
| WASM ECS S&P (Insertion) | 1.543 ms | 1.720 ms | 4.42x |
| WASM ECS S&P (Quick) | 1.778 ms | 1.981 ms | 3.84x |
| WASM ECS S&P (Merge) | 1.369 ms | 1.579 ms | 4.98x |
| WASM Tree | 8.503 ms | 9.726 ms | 0.80x |

Running benchmark for: ERRATIC with 15000 entities...

### Results for ERRATIC (15000 entities)
| System | Avg Frame Time | 99th Percentile | Speedup vs OOP S&P (Insertion) |
| :--- | :--- | :--- | :--- |
| OOP S&P (Insertion) | 130.215 ms | 146.831 ms | 1.00x |
| OOP S&P (Quick) | 8.386 ms | 11.203 ms | 15.53x |
| OOP S&P (Merge) | 8.576 ms | 20.436 ms | 15.18x |
| OOP S&P (Native) | 10.292 ms | 12.405 ms | 12.65x |
| OOP Tree | 26.645 ms | 63.415 ms | 4.89x |
| Custom ECS S&P (Insertion) | 41.133 ms | 54.564 ms | 3.17x |
| Custom ECS S&P (Quick) | 5.346 ms | 6.090 ms | 24.36x |
| Custom ECS S&P (Merge) | 5.690 ms | 7.888 ms | 22.88x |
| Custom ECS S&P (Native) | 6.950 ms | 8.690 ms | 18.74x |
